CMD: maintainability_line_counts(scope files expanded, tracked-aware)
apps/s10_gui_operator_tools_v1.ts | tracked=0 | total_lines=96 | added=96 | removed=0 | net=96
docs/sprints/S10/evidence/tools/pr_protocol/S10-EVID-PR/S10-gui-operator-tools-v1_pr_protocol_S10-EVID-PR_20260304T193000Z/run_context.json | tracked=0 | total_lines=11 | added=11 | removed=0 | net=11
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/ahead_behind.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/ahead_behind.stdout.txt | tracked=0 | total_lines=1 | added=1 | removed=0 | net=1
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/branch.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/branch.stdout.txt | tracked=0 | total_lines=1 | added=1 | removed=0 | net=1
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/echo_promptops_repo.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/echo_promptops_repo.stdout.txt | tracked=0 | total_lines=1 | added=1 | removed=0 | net=1
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/fetch.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/fetch.stdout.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/fsck.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
